tucaseid,tuactivity_n,wufnactwt,wufnactwtc,wufnactwtp,wuhapord,wuhappy,wuinteract,wumeaning,wupain,wupnord,wusad,wusadord,wustress,wustrord,wutired,wutrdord,tewhere,trtcctot_ln,trtcc_ln,trtcoc_ln,trthh_ln,trtnohh_ln,trtohh_ln,trtonhh_ln,trto_ln,trwbelig,tuactdur,tuactdur24,tucc5,tucc5b,tucc7,tucc8,tucumdur,tucumdur24,tustarttim,tustoptime,tutier1code,tutier2code,tutier3code,trcode,trtier2,txwhere,trtec_ln,tudurstop,tuec24,teage,tesex,telfs,is_alone,activity_6d,activity_group,social_context
20120909121204,17,1662595.324037,1593386.147176,1579465.557835,3,6,1,6,0,4,0,5,0,1,1,2,3,30,30,0,30,-1,30,-1,30,1,30,30,1,0,0,0,900,900,18:30:00,19:00:00,12,3,1,120301,1203,0,-1.0,1.0,-1.0,47,1,1,False,120301,Non-Screen,With Others
20100302101918,12,6714993.370166,7903646.245947,6198455.418615,3,2,1,2,5,5,5,1,2,2,6,4,1,0,-1,0,-1,-1,-1,-1,-1,1,80,80,0,0,0,0,900,900,17:40:00,19:00:00,12,3,3,120303,1203,0,,,,55,2,1,False,120303,Screen-Based,With Others
20100706101194,8,5734083.026869,6749100.303004,5495162.900749,5,4,1,4,0,2,0,4,0,1,4,3,1,60,60,60,60,-1,60,-1,60,1,60,60,1,0,0,1,450,450,10:30:00,11:30:00,12,3,3,120303,1203,0,,,,38,2,1,False,120303,Screen-Based,With Others
20130201130680,6,8154953.203318,8559586.896765,7135584.052903,3,5,2,6,0,4,0,2,0,5,2,1,1,0,0,0,0,0,-1,-1,-1,1,150,150,0,97,0,0,750,750,14:00:00,16:30:00,12,3,9,120309,1203,0,-1.0,1.0,-1.0,16,2,5,True,120309,Non-Screen,Alone
20100504100145,4,6758405.873366,14449472.79516,5406724.698692,5,0,2,2,5,3,0,1,0,2,0,4,1,0,-1,0,-1,-1,-1,-1,-1,1,510,510,0,0,0,0,1200,1200,15:30:00,00:00:00,12,3,1,120301,1203,0,,,,57,2,5,False,120301,Non-Screen,With Others
20121010122218,27,22053983.963961,21135938.511422,21095115.095963,2,5,2,4,2,1,0,3,2,4,2,5,1,0,-1,0,-1,-1,-1,-1,-1,1,80,80,0,0,0,0,1020,1020,19:40:00,21:00:00,12,3,8,120308,1203,0,-1.0,2.0,-1.0,66,2,5,True,120308,Screen-Based,Alone
20101009102108,18,7845257.849953,9233984.210581,7322240.659957,2,4,2,3,0,3,0,4,0,5,0,1,1,0,-1,0,-1,-1,-1,-1,-1,1,95,95,0,0,0,0,1035,1035,19:40:00,21:15:00,12,3,3,120303,1203,0,,,,57,1,1,True,120303,Screen-Based,Alone
20100212090716,23,8959295.433398,8959295.433398,8959295.433398,4,4,2,1,0,5,0,2,1,1,3,3,1,0,0,0,0,-1,0,-1,0,1,60,60,1,0,0,0,1110,1110,21:30:00,22:30:00,12,3,3,120303,1203,0,,,,33,1,1,True,120303,Screen-Based,Alone
20130605131027,22,7688094.422689,7688094.422689,29774386.880804,5,6,2,5,0,3,0,1,0,4,2,2,1,0,-1,0,-1,-1,-1,-1,-1,1,85,85,0,0,0,0,1160,1160,21:55:00,23:20:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,45,2,5,False,120303,Screen-Based,With Others
20120112111473,7,19576303.050885,22995357.266203,17129265.169525,2,6,1,5,0,3,0,4,3,5,2,1,3,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,1050,1050,19:30:00,21:30:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,22,1,4,False,120303,Screen-Based,With Others
20131009132468,5,19638117.741731,19638117.741731,19638117.741731,1,1,2,0,0,4,6,2,6,5,0,3,1,0,-1,0,-1,-1,-1,-1,-1,1,410,410,0,0,0,0,900,900,12:10:00,19:00:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,68,2,5,False,120303,Screen-Based,With Others
20120403120842,12,11289823.981853,54107771.415005,10349005.316699,2,2,1,0,0,3,0,5,3,4,4,1,1,0,-1,0,-1,-1,-1,-1,-1,1,120,120,0,0,0,0,1085,1085,20:05:00,22:05:00,12,3,3,120303,1203,0,-1.0,1.0,-1.0,23,1,1,False,120303,Screen-Based,With Others
20130403130688,14,2749455.638261,2749455.638261,2749455.638261,5,4,1,3,1,2,0,3,1,1,3,4,3,60,60,0,60,-1,60,-1,60,1,60,60,1,0,0,0,750,750,15:30:00,16:30:00,12,3,1,120301,1203,0,-1.0,1.0,-1.0,36,2,1,False,120301,Non-Screen,With Others
20100504101675,12,4709053.501093,4709053.501093,4709053.501093,5,3,1,0,3,1,1,4,2,2,5,3,1,120,120,0,120,-1,120,-1,120,1,120,120,1,0,0,0,681,681,13:21:00,15:21:00,12,3,3,120303,1203,0,,,,48,2,1,False,120303,Screen-Based,With Others
20130201130744,26,3570827.28596,4112226.587002,3422042.815711,1,5,2,5,5,3,-2,5,0,4,4,2,1,0,-1,0,-1,-1,-1,-1,-1,1,30,30,0,0,0,0,930,930,19:00:00,19:30:00,12,3,3,120303,1203,0,-1.0,2.0,-1.0,64,2,5,False,120303,Screen-Based,With Others
20130403131535,3,1905990.651983,1905990.651983,1905990.651983,4,4,1,5,2,2,2,5,3,1,2,3,1,0,-1,0,-1,-1,-1,-1,-1,1,30,30,0,0,0,0,390,390,10:00:00,10:30:00,12,3,8,120308,1203,0,-1.0,1.0,-1.0,34,1,1,False,120308,Screen-Based,With Others
